colm1;colm2
0.99672;-0.08256
0.84621;0.53428
-0.30323;0.95421
-0.62389;0.78364
-0.86763;-0.50057
-0.90711;0.42713
0.95349;-0.31098
0.40442;-0.91794
-0.27981;0.96472
0.9791;0.22403
0.88886;-0.46819
0.38207;0.93028
0.67575;-0.74481
0.94533;0.34504
0.66142;-0.75906
-0.04326;1.00663
0.73591;-0.68867
1.00832;0.01662
-0.90441;0.44736
-0.17282;-0.99457
0.7966;0.62109
0.5325;0.85901
0.34239;-0.95115
0.01725;-1.01114
-1.01138;-0.02962
0.35631;0.94815
0.57399;0.83518
-0.34138;-0.95382
0.1006;-1.00852
-0.16289;-1.00089
0.66629;-0.76513
0.32277;0.96316
0.66883;0.76487
0.13491;1.00775
-0.41027;0.93087
0.56139;0.84856
-0.43678;-0.91956
1.0169;-0.05509
0.98411;0.26406
-0.81045;0.61853
0.32937;-0.96538
0.75004;0.69221
-0.95279;0.36667
-0.97124;0.31614
-0.72901;-0.71581
-0.98702;-0.26608
0.99353;0.24472
-0.76456;0.68079
0.78888;-0.6525
-0.16893;1.01097
1.01916;0.10861
0.42444;-0.93303
-1.01531;-0.14875
-1.00899;0.19052
0.10545;-1.02132
0.86146;0.5598
-1.02819;0.00746
-0.96471;-0.35708
-0.04752;1.02796
0.03361;1.02894
-0.83096;-0.60854
-0.47407;-0.91489
1.02415;-0.11984
0.68416;-0.77199
-0.35127;-0.97008
-0.53053;-0.88537
0.83589;0.60751
0.19789;-1.01399
-0.26943;-0.99782
-0.91893;-0.4746
-0.91391;0.48644
0.94445;-0.42384
-0.65241;0.80536
0.33447;0.98132
0.82279;-0.63056
1.01789;0.19943
0.67484;-0.78831
-0.09657;-1.03392
-0.58215;-0.86067
-0.6701;-0.79477
-0.00853;1.03995
0.86871;-0.57274
0.97164;0.37396
-0.95536;-0.41423
0.23006;-1.01615
0.49888;-0.91526
-0.63151;-0.82959
-0.74101;0.735
-0.35003;-0.98312
-0.64417;0.8227
-0.79084;0.68366
-0.08597;-1.04146
-0.84542;0.61667
0.69306;-0.78355
0.4704;-0.9349
-0.62318;0.84246
0.93304;0.47687
-0.75369;0.72924
0.47882;-0.93317
1.02244;-0.2361
0.99344;0.33969
-0.55286;-0.89324
