radiu;Rmean;Surmean;Surfmax;Surfmin;VerSur;Tempedust
0.17;0.085;0;0;0;0;858.66412
0.34;0.255;0;0;0;0;595.36444
0.51;0.425;0;0;0;0;502.14984
0.68;0.595;0;0;0;0;448.8735
0.85;0.765;0;0;0;0;412.80267
1.02;0.935;0.96072;1.3377;0.56201;0.19053;386.09344
1.19;1.105;6.7637;8.0574;5.586;0.64656;365.18158
1.36;1.275;5.8826;6.4549;4.9398;0.39048;348.17123
1.53;1.445;5.1586;6.1667;4.2972;0.41124;333.94403
1.7;1.615;4.6289;5.6413;4.0374;0.30717;321.7897
1.87;1.785;4.1701;4.9257;3.5368;0.26019;311.23151
2.04;1.955;3.8357;4.5353;3.2898;0.24858;301.93542
2.21;2.125;3.5114;4.2769;3.0579;0.22145;293.659
2.38;2.295;3.2418;3.6473;2.854;0.2011;286.22137
2.55;2.465;3.0368;3.678;2.6061;0.2442;279.48425
2.72;2.635;2.8484;3.3227;2.3425;0.23799;273.33972
2.89;2.805;2.7476;3.1768;2.3456;0.19824;267.70224
3.06;2.975;2.6573;3.3062;2.2464;0.22892;262.50284
3.23;3.145;2.5156;2.9816;2.0779;0.21037;257.68518
3.4;3.315;1.5061;2.5362;0.70774;0.50677;253.20277
3.57;3.485;2.5064;3.0666;2.009;0.25783;249.01683
3.74;3.655;2.3993;2.7741;2.0836;0.13015;245.09467
3.91;3.825;2.091;2.5173;1.635;0.27175;241.40846
4.08;3.995;1.1513;1.3005;0.92259;0.080089;237.93448
4.25;4.165;0.8792;1.155;0.60595;0.14375;234.65221
4.42;4.335;0.39865;0.66413;0.12975;0.12794;231.54385
4.59;4.505;0.090841;0.16428;0.029574;0.029187;228.59393
4.76;4.675;0.0016127;0.014245;0;0.003763;225.78882
4.93;4.845;0.0014704;0.013747;0;0.0035021;223.11652
5.1;5.015;0.52019;1.0227;0;0.34623;220.56639
5.27;5.185;0.93804;1.5901;0;0.49779;218.12898
5.44;5.355;0.62376;1.1015;0;0.41237;215.79588
5.61;5.525;0.050832;0.14333;0;0.042397;213.55949
5.78;5.695;0;0;0;0;211.41301
5.95;5.865;0;0;0;0;209.35033
6.12;6.035;0.0011779;0.011036;0;0.0028143;207.36584
6.29;6.205;0.10022;0.32443;0.010736;0.072397;205.45453
6.46;6.375;0.30524;0.57235;0.081267;0.15778;203.61179
6.63;6.545;0.56463;0.76103;0.41839;0.078556;201.83342
6.8;6.715;0.50373;0.74507;0.19949;0.17035;200.1156
6.97;6.885;0.7158;1.3663;0.43858;0.28952;198.45482
7.14;7.055;1.1077;1.5914;0.73329;0.24944;196.84784
7.31;7.225;1.2086;1.7056;0.77442;0.27951;195.29166
